article_id,newspaper,title,author,url,date,city_writing_origin,countries_mentioned,politicians_mentioned,n_comments
1,eldiario.es,"Trump carga de nuevo contra España por la guerra en Irán: “No está cooperando, podríamos cortar todo el comercio con ellos”",Andrés Gil,https://www.eldiario.es/internacional/trump-carga-nuevo-espana-no-cooperando_1_13060314.html,11/03/2026,Washington,"Chipre, Irán, Israel, España","Donald Trump, Pedro Sánchez",77
2,eldiario.es,Más líos para Starmer: un informe interno le advirtió del “riesgo de reputación” por la relación de Mandelson y Epstein,María Ramírez,https://www.eldiario.es/internacional/lios-starmer-informe-interno-le-advirtio-riesgo-reputacion-relacion-mandelson-epstein_1_13058929.html,11/03/2026,Oxford (Reino Unido),"China, Reino Unido, Estados Unidos",Donald Trump,0
3,eldiario.es,El Gobierno cesa a la embajadora en Israel y rebaja la representación diplomática española en el país,NA,https://www.eldiario.es/internacional/gobierno-cesa-embajadora-israel-rebaja-representacion-diplomatica-espanol-pais_1_13058864.html,11/03/2026,NA,"Irán, Israel, Líbano, Reunión, España","Netanyahu, Pedro Sánchez",41
4,eldiario.es,La elección de “Jamenei 2.0” divide Irán: del apoyo de los medios oficiales al temor a una mayor represión,NA,https://www.eldiario.es/internacional/theguardian/eleccion-jamenei-2-0-divide-iran-apoyo-medios-oficiales-temor-mayor-represion_1_13055125.html,11/03/2026,NA,Israel,Donald Trump,11
5,eldiario.es,Qué pruebas existen de la responsabilidad de EEUU en el ataque contra la escuela de niñas en Irán,NA,https://www.eldiario.es/internacional/theguardian/pruebas-existen-responsabilidad-eeuu-ataque-escuela-ninas-iran_1_13055022.html,10/03/2026,NA,"Irán, Israel, Estados Unidos",Donald Trump,15
6,eldiario.es,"Quién es Mojtaba Jamenei, el nuevo líder supremo de Irán",Patrick Wintour,https://www.eldiario.es/internacional/theguardian/mojtaba-jamenei-nuevo-lider-supremo-iran_1_13051563.html,09/03/2026,NA,"Irán, Irak, Israel, Estados Unidos",Donald Trump,21
7,eldiario.es,“Un tipo muy peligroso”: alarma en el Ejército mientras Pete Hegseth disfruta con la carnicería de la guerra contra Irán,David Smith,https://www.eldiario.es/internacional/theguardian/tipo-peligroso-alarma-ejercito-pete-hegseth-disfruta-carniceria-guerra-iran_1_13051221.html,09/03/2026,Washington,"Afganistán, Cuba, Irán, Irak, Kuwait, Estados Unidos",Donald Trump,165
8,eldiario.es,El cisma provocado en la UE obliga a Von der Leyen a recular: “Siempre defenderemos los principios de la ONU y el derecho internacional”,Rodrigo Ponce de León,https://www.eldiario.es/internacional/cisma-provocado-ue-obliga-von-der-leyen-recular-defenderemos-principios-onu-derecho-internacional_1_13057946.html,11/03/2026,Bruselas,"Chipre, Gibraltar, Irán, Israel, Montserrat, Turquía, Ucrania, Reino Unido, Estados Unidos","Von der Leyen, Putin, Donald Trump, Pedro Sánchez, Netanyahu",118
9,eldiario.es,"Guerra en Irán: última hora del ataque de EEUU e Israel, en directo",elDiario.es,https://www.eldiario.es/internacional/guerra-iran-ultima-hora-ataque-eeuu-e-israel-directo_6_13057884.html,11/03/2026,NA,"Baréin, Canadá, Chipre, India, Irán, Irak, Israel, Italia, Kuwait, Letonia, Líbano, México, Omán, Catar, Reunión, Arabia Saudí, España, Emiratos Árabes Unidos, Estados Unidos","Von der Leyen, Donald Trump, Netanyahu",4
10,eldiario.es,La guerra de Trump en Irán es la más impopular de todas para los estadounidenses,Andrés Gil,https://www.eldiario.es/internacional/cronicas-desde-trumplandia/guerra-trump-iran-impopular-estadounidenses_132_13057704.html,11/03/2026,NA,"Irán, Israel, Estados Unidos",Donald Trump,28
